"","X","id","landscape","position","row","column","initial.species","extinctions","distance2nonextinct","connectivity2nonextinct","n_extinctions","correlation","treatment_label","correlation_label","n_extinctions_label","extinction_label","treatment_label_bis","return_point","return_time","distance2extinct"
"104",104,104,7,8,2,4,"Col",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,3
"105",105,105,7,9,3,1,"Tet",TRUE,1,1,4,TRUE,2,"Clumped extinctions","4 extinctions","Extinct patches","4 Clumped",4,212.395833333333,0
"106",106,106,7,10,3,2,"Tet",TRUE,1,2,4,TRUE,2,"Clumped extinctions","4 extinctions","Extinct patches","4 Clumped",3,164.466666666667,0
"107",107,107,7,11,3,3,"Ble",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,1
"108",108,108,7,12,3,4,"Tet",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,2
"109",109,109,7,13,4,1,"Ble",TRUE,2,0,4,TRUE,2,"Clumped extinctions","4 extinctions","Extinct patches","4 Clumped",3,164.466666666667,0
"110",110,110,7,14,4,2,"Tet",TRUE,1,1,4,TRUE,2,"Clumped extinctions","4 extinctions","Extinct patches","4 Clumped",2,91.4583333333333,0
"111",111,111,7,15,4,3,"Tet",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,1
"112",112,112,7,16,4,4,"Col",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,2
"113",113,113,8,1,1,1,"Ble",TRUE,2,0,4,TRUE,2,"Clumped extinctions","4 extinctions","Extinct patches","4 Clumped",3,164.466666666667,0
"114",114,114,8,2,1,2,"Tet",TRUE,1,1,4,TRUE,2,"Clumped extinctions","4 extinctions","Extinct patches","4 Clumped",1,44.0875,0
"115",115,115,8,3,1,3,"Col",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,1
"116",116,116,8,4,1,4,"Tet",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,2
"117",117,117,8,5,2,1,"Ble",TRUE,1,1,4,TRUE,2,"Clumped extinctions","4 extinctions","Extinct patches","4 Clumped",2,91.4583333333333,0
"118",118,118,8,6,2,2,"Ble",TRUE,1,2,4,TRUE,2,"Clumped extinctions","4 extinctions","Extinct patches","4 Clumped",2,91.4583333333333,0
"119",119,119,8,7,2,3,"Col",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,1
"120",120,120,8,8,2,4,"Tet",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,2
"121",121,121,8,9,3,1,"Col",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,1
"122",122,122,8,10,3,2,"Ble",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,1
"123",123,123,8,11,3,3,"Tet",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,2
"124",124,124,8,12,3,4,"Ble",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,3
"125",125,125,8,13,4,1,"Col",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,2
"126",126,126,8,14,4,2,"Tet",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,2
"127",127,127,8,15,4,3,"Col",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,3
"128",128,128,8,16,4,4,"Col",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,4
"129",129,129,9,1,1,1,"Ble",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,2
"130",130,130,9,2,1,2,"Col",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,2
"131",131,131,9,3,1,3,"Ble",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,3
"132",132,132,9,4,1,4,"Col",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,4
"133",133,133,9,5,2,1,"Tet",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,1
"134",134,134,9,6,2,2,"Col",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,1
"135",135,135,9,7,2,3,"Tet",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,2
"136",136,136,9,8,2,4,"Ble",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,3
"137",137,137,9,9,3,1,"Col",TRUE,1,1,4,TRUE,2,"Clumped extinctions","4 extinctions","Extinct patches","4 Clumped",1,44.0875,0
"138",138,138,9,10,3,2,"Col",TRUE,1,2,4,TRUE,2,"Clumped extinctions","4 extinctions","Extinct patches","4 Clumped",2,91.4583333333333,0
"139",139,139,9,11,3,3,"Tet",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,1
"140",140,140,9,12,3,4,"Tet",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,2
"141",141,141,9,13,4,1,"Tet",TRUE,2,0,4,TRUE,2,"Clumped extinctions","4 extinctions","Extinct patches","4 Clumped",3,164.466666666667,0
"142",142,142,9,14,4,2,"Tet",TRUE,1,1,4,TRUE,2,"Clumped extinctions","4 extinctions","Extinct patches","4 Clumped",3,164.466666666667,0
"143",143,143,9,15,4,3,"Ble",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,1
"144",144,144,9,16,4,4,"Ble",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,2
"145",145,145,10,1,1,1,"Ble",TRUE,1,2,8,FALSE,3,"Dispersed extinctions","8 extinctions","Extinct patches","8 Dispersed",3,164.466666666667,0
"146",146,146,10,2,1,2,"Tet",FALSE,0,NA,8,FALSE,3,"Dispersed extinctions","8 extinctions","Non-extinct patches","8 Dispersed",0,0,1
"147",147,147,10,3,1,3,"Ble",TRUE,1,3,8,FALSE,3,"Dispersed extinctions","8 extinctions","Extinct patches","8 Dispersed",3,164.466666666667,0
"148",148,148,10,4,1,4,"Ble",FALSE,0,NA,8,FALSE,3,"Dispersed extinctions","8 extinctions","Non-extinct patches","8 Dispersed",0,0,1
"149",149,149,10,5,2,1,"Col",FALSE,0,NA,8,FALSE,3,"Dispersed extinctions","8 extinctions","Non-extinct patches","8 Dispersed",0,0,1
"150",150,150,10,6,2,2,"Col",TRUE,1,4,8,FALSE,3,"Dispersed extinctions","8 extinctions","Extinct patches","8 Dispersed",2,91.4583333333333,0
"151",151,151,10,7,2,3,"Ble",FALSE,0,NA,8,FALSE,3,"Dispersed extinctions","8 extinctions","Non-extinct patches","8 Dispersed",0,0,1
"152",152,152,10,8,2,4,"Tet",TRUE,1,3,8,FALSE,3,"Dispersed extinctions","8 extinctions","Extinct patches","8 Dispersed",1,44.0875,0
