"","file","date","time","magnification","landscape","tube_id","position","measure_point","initial_species","extinction","n_extinctions","correlation","bioarea","Tet","Col","Ble","Ble_shadow","Unassigned","local_simpson","landscape_simpson","hours"
"120","sample_0120","2019-03-18",10,1,8,120,8,"t0","Tet",FALSE,4,TRUE,18684.2131064427,11465.057529468,0,0,0,0,1,1.67280801345406,0
"121","sample_0121","2019-03-18",10,1,8,121,9,"t0","Col",FALSE,4,TRUE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.67280801345406,0
"122","sample_0122","2019-03-18",10,1,8,122,10,"t0","Ble",FALSE,4,TRUE,8130.88129984077,0,0,393.237122682646,0,0,1,1.67280801345406,0
"123","sample_0123","2019-03-18",10,1,8,123,11,"t0","Tet",FALSE,4,TRUE,18684.2131064427,11465.057529468,0,0,0,0,1,1.67280801345406,0
"124","sample_0124","2019-03-18",10,1,8,124,12,"t0","Ble",FALSE,4,TRUE,8130.88129984077,0,0,393.237122682646,0,0,1,1.67280801345406,0
"125","sample_0125","2019-03-18",10,1,8,125,13,"t0","Col",FALSE,4,TRUE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.67280801345406,0
"126","sample_0126","2019-03-18",10,1,8,126,14,"t0","Tet",FALSE,4,TRUE,18684.2131064427,11465.057529468,0,0,0,0,1,1.67280801345406,0
"127","sample_0127","2019-03-18",10,1,8,127,15,"t0","Col",FALSE,4,TRUE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.67280801345406,0
"128","sample_0128","2019-03-18",10,1,8,128,16,"t0","Col",FALSE,4,TRUE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.67280801345406,0
"129","sample_0129","2019-03-18",10,1,9,129,1,"t0","Ble",FALSE,4,TRUE,8130.88129984077,0,0,393.237122682646,0,0,1,1.49859482883406,0
"130","sample_0130","2019-03-18",10,1,9,130,2,"t0","Col",FALSE,4,TRUE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.49859482883406,0
"131","sample_0131","2019-03-18",10,1,9,131,3,"t0","Ble",FALSE,4,TRUE,8130.88129984077,0,0,393.237122682646,0,0,1,1.49859482883406,0
"132","sample_0132","2019-03-18",10,1,9,132,4,"t0","Col",FALSE,4,TRUE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.49859482883406,0
"133","sample_0133","2019-03-18",10,1,9,133,5,"t0","Tet",FALSE,4,TRUE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"134","sample_0134","2019-03-18",10,1,9,134,6,"t0","Col",FALSE,4,TRUE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.49859482883406,0
"135","sample_0135","2019-03-18",10,1,9,135,7,"t0","Tet",FALSE,4,TRUE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"136","sample_0136","2019-03-18",10,1,9,136,8,"t0","Ble",FALSE,4,TRUE,8130.88129984077,0,0,393.237122682646,0,0,1,1.49859482883406,0
"137","sample_0137","2019-03-18",10,1,9,137,9,"t0","Col",TRUE,4,TRUE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.49859482883406,0
"138","sample_0138","2019-03-18",10,1,9,138,10,"t0","Col",TRUE,4,TRUE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.49859482883406,0
"139","sample_0139","2019-03-18",10,1,9,139,11,"t0","Tet",FALSE,4,TRUE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"140","sample_0140","2019-03-18",10,1,9,140,12,"t0","Tet",FALSE,4,TRUE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"141","sample_0141","2019-03-18",10,1,9,141,13,"t0","Tet",TRUE,4,TRUE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"142","sample_0142","2019-03-18",10,1,9,142,14,"t0","Tet",TRUE,4,TRUE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"143","sample_0143","2019-03-18",10,1,9,143,15,"t0","Ble",FALSE,4,TRUE,8130.88129984077,0,0,393.237122682646,0,0,1,1.49859482883406,0
"144","sample_0144","2019-03-18",10,1,9,144,16,"t0","Ble",FALSE,4,TRUE,8130.88129984077,0,0,393.237122682646,0,0,1,1.49859482883406,0
"145","sample_0145","2019-03-18",10,1,10,145,1,"t0","Ble",TRUE,8,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.49859482883406,0
"146","sample_0146","2019-03-18",10,1,10,146,2,"t0","Tet",FALSE,8,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"147","sample_0147","2019-03-18",10,1,10,147,3,"t0","Ble",TRUE,8,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.49859482883406,0
"148","sample_0148","2019-03-18",10,1,10,148,4,"t0","Ble",FALSE,8,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.49859482883406,0
"149","sample_0149","2019-03-18",10,1,10,149,5,"t0","Col",FALSE,8,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.49859482883406,0
"150","sample_0150","2019-03-18",10,1,10,150,6,"t0","Col",TRUE,8,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.49859482883406,0
"151","sample_0151","2019-03-18",10,1,10,151,7,"t0","Ble",FALSE,8,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.49859482883406,0
"152","sample_0152","2019-03-18",10,1,10,152,8,"t0","Tet",TRUE,8,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"153","sample_0153","2019-03-18",10,1,10,153,9,"t0","Col",TRUE,8,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.49859482883406,0
"154","sample_0154","2019-03-18",10,1,10,154,10,"t0","Tet",FALSE,8,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"155","sample_0155","2019-03-18",10,1,10,155,11,"t0","Tet",TRUE,8,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"156","sample_0156","2019-03-18",10,1,10,156,12,"t0","Tet",FALSE,8,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"157","sample_0157","2019-03-18",10,1,10,157,13,"t0","Tet",FALSE,8,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"158","sample_0158","2019-03-18",10,1,10,158,14,"t0","Ble",TRUE,8,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.49859482883406,0
"159","sample_0159","2019-03-18",10,1,10,159,15,"t0","Col",FALSE,8,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.49859482883406,0
"160","sample_0160","2019-03-18",10,1,10,160,16,"t0","Col",TRUE,8,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.49859482883406,0
"161","sample_0161","2019-03-18",10,1,11,161,1,"t0","Tet",TRUE,8,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"162","sample_0162","2019-03-18",10,1,11,162,2,"t0","Ble",FALSE,8,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.49859482883406,0
"163","sample_0163","2019-03-18",10,1,11,163,3,"t0","Col",TRUE,8,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.49859482883406,0
"164","sample_0164","2019-03-18",10,1,11,164,4,"t0","Col",FALSE,8,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.49859482883406,0
"165","sample_0165","2019-03-18",10,1,11,165,5,"t0","Tet",FALSE,8,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"166","sample_0166","2019-03-18",10,1,11,166,6,"t0","Col",TRUE,8,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.49859482883406,0
"167","sample_0167","2019-03-18",10,1,11,167,7,"t0","Tet",FALSE,8,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"168","sample_0168","2019-03-18",10,1,11,168,8,"t0","Tet",TRUE,8,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
