"","id","landscape","position","row","column","initial.species","extinctions","distance2nonextinct","connectivity2nonextinct"
"257",257,17,1,1,1,"Col",FALSE,0,NA
"258",258,17,2,1,2,"Col",TRUE,1,3
"259",259,17,3,1,3,"Col",FALSE,0,NA
"260",260,17,4,1,4,"Ble",TRUE,1,2
"261",261,17,5,2,1,"Ble",TRUE,1,3
"262",262,17,6,2,2,"Tet",FALSE,0,NA
"263",263,17,7,2,3,"Col",TRUE,1,4
"264",264,17,8,2,4,"Tet",FALSE,0,NA
"265",265,17,9,3,1,"Tet",FALSE,0,NA
"266",266,17,10,3,2,"Ble",FALSE,0,NA
"267",267,17,11,3,3,"Tet",FALSE,0,NA
"268",268,17,12,3,4,"Ble",FALSE,0,NA
"269",269,17,13,4,1,"Tet",FALSE,0,NA
"270",270,17,14,4,2,"Ble",FALSE,0,NA
"271",271,17,15,4,3,"Col",FALSE,0,NA
"272",272,17,16,4,4,"Tet",FALSE,0,NA
"273",273,18,1,1,1,"Col",FALSE,0,NA
"274",274,18,2,1,2,"Tet",FALSE,0,NA
"275",275,18,3,1,3,"Tet",FALSE,0,NA
"276",276,18,4,1,4,"Col",FALSE,0,NA
"277",277,18,5,2,1,"Ble",FALSE,0,NA
"278",278,18,6,2,2,"Ble",FALSE,0,NA
"279",279,18,7,2,3,"Ble",FALSE,0,NA
"280",280,18,8,2,4,"Col",FALSE,0,NA
"281",281,18,9,3,1,"Col",TRUE,1,1
"282",282,18,10,3,2,"Ble",TRUE,1,2
"283",283,18,11,3,3,"Tet",FALSE,0,NA
"284",284,18,12,3,4,"Ble",FALSE,0,NA
"285",285,18,13,4,1,"Col",TRUE,2,0
"286",286,18,14,4,2,"Tet",TRUE,1,1
"287",287,18,15,4,3,"Ble",FALSE,0,NA
"288",288,18,16,4,4,"Tet",FALSE,0,NA
"289",289,19,1,1,1,"Ble",FALSE,0,NA
"290",290,19,2,1,2,"Col",TRUE,1,3
"291",291,19,3,1,3,"Ble",FALSE,0,NA
"292",292,19,4,1,4,"Ble",TRUE,1,2
"293",293,19,5,2,1,"Col",TRUE,1,3
"294",294,19,6,2,2,"Col",FALSE,0,NA
"295",295,19,7,2,3,"Tet",TRUE,1,4
"296",296,19,8,2,4,"Ble",FALSE,0,NA
"297",297,19,9,3,1,"Ble",FALSE,0,NA
"298",298,19,10,3,2,"Tet",TRUE,1,4
"299",299,19,11,3,3,"Tet",FALSE,0,NA
"300",300,19,12,3,4,"Col",TRUE,1,3
"301",301,19,13,4,1,"Col",TRUE,1,2
"302",302,19,14,4,2,"Ble",FALSE,0,NA
"303",303,19,15,4,3,"Tet",TRUE,1,3
"304",304,19,16,4,4,"Tet",FALSE,0,NA
"305",305,20,1,1,1,"Ble",TRUE,2,0
"306",306,20,2,1,2,"Ble",TRUE,1,1
"307",307,20,3,1,3,"Tet",FALSE,0,NA
"308",308,20,4,1,4,"Col",FALSE,0,NA
"309",309,20,5,2,1,"Ble",TRUE,2,0
"310",310,20,6,2,2,"Col",TRUE,1,1
"311",311,20,7,2,3,"Tet",FALSE,0,NA
"312",312,20,8,2,4,"Ble",FALSE,0,NA
"313",313,20,9,3,1,"Col",TRUE,2,0
"314",314,20,10,3,2,"Col",TRUE,1,1
"315",315,20,11,3,3,"Tet",FALSE,0,NA
"316",316,20,12,3,4,"Col",FALSE,0,NA
"317",317,20,13,4,1,"Tet",TRUE,2,0
